//Unpacked NPC drops dump - by Emperor
//When setting "isRare" to true; it will create a drop with all values set to 0.
//Format: [npcId]: itemId, rate, min-amt, max-amt, isRare
[2600]:6529, 70.0, 1, 100, false
[2601]:6529, 70.0, 1, 100, false
[2602]:6529, 70.0, 1, 100, false
[2603]:6529, 70.0, 1, 100, false
[2605]:6529, 70.0, 1, 150, false
[2606]:6529, 70.0, 1, 150, false
[2607]:6529, 70.0, 1, 150, false
[2608]:6529, 70.0, 1, 150, false
[2609]:6529, 70.0, 1, 150, false
[2611]:6529, 75.0, 1, 200, false
[2614]:6529, 75.0, 1, 200, false
[2615]:6529, 75.0, 1, 200, false
[2616]:6529, 75.0, 1, 200, false
[2617]:6529, 70.0, 1, 150, false
[2618]:6529, 70.0, 1, 150, false
[2470]: 564, 9.0, 1, 1, false
[2470]: 14497, 9.0, 1, 1, false
[2470]: 14499, 9.0, 1, 1, false
[2470]: 14501, 9.0, 1, 1, false
[2471]: 564, 9.0, 1, 1, false
[2471]: 14501, 9.0, 1, 1, false
[2471]: 14499, 9.0, 1, 1, false
[2471]: 14497, 9.0, 1, 1, false
[2472]: 564, 9.0, 1, 1, false
[2472]: 14501, 9.0, 1, 1, false
[2472]: 14499, 9.0, 1, 1, false
[2472]: 14497, 9.0, 1, 1, false
[7140]: 564, 9.0, 1, 1, false
[7140]: 14501, 9.0, 1, 1, false
[7140]: 14499, 9.0, 1, 1, false
[7140]: 14497, 9.0, 1, 1, false
[7139]: 564, 9.0, 1, 1, false
[7139]: 14501, 9.0, 1, 1, false
[7139]: 14499, 9.0, 1, 1, false
[7139]: 14497, 9.0, 1, 1, false
[7138]: 564, 9.0, 1, 1, false
[7138]: 14501, 9.0, 1, 1, false
[7138]: 14499, 9.0, 1, 1, false
[7138]: 14497, 9.0, 1, 1, false
[8800]: 526, 100.0, 1, 1, false
[8800]: 1249, 9.0, 1, 1, false
[8800]: 15259, 1.0, 1, 1, false
[8800]: 15241, 68.0, 1, 1, false
