//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agressivenessType
19109 - 4000 12252 12251 12250 3 5 5 400 SPECIAL -1 -1 PASSIVE
//asc
17144 - 1000 20261 20265 20259 3 4 10 300 MAGE -1 3996 PASSIVE
17145 - 1250 20246 20247 20248 3 4 10 400 MELEE -1 -1 PASSIVE
17146 - 1500 20271 20240 20241 3 4 10 400 MAGE -1 3996 PASSIVE
17147 - 2000 20266 20258 20257 4 4 10 400 MELEE -1 -1 PASSIVE
17148 - 2000 20266 20258 20257 4 4 10 400 MELEE -1 -1 PASSIVE
17149 - 7500 20260 20255 20256 4 5 60 700 MAGE -1 -1 AGRESSIVE
17150 - 7500 20260 20255 20256 4 5 60 700 MAGE -1 -1 AGRESSIVE
17151 - 7500 20260 20255 20256 4 5 60 700 MAGE -1 -1 AGRESSIVE
17152 - 7500 20260 20255 20256 4 5 60 700 MAGE -1 -1 AGRESSIVE
17153 - 7500 20260 20255 20256 4 5 60 700 MAGE -1 -1 AGRESSIVE
17154 - 7500 20260 20255 20256 4 5 60 700 MAGE -1 -1 AGRESSIVE
//edimmu
10704 - 5000 13734 13732 13733 3 5 10 300 SPECIAL -1 2615 PASSIVE
20290 - 5000 13734 13732 13733 3 5 10 300 SPECIAL -1 2615 PASSIVE
//dung
19814 - 2500 426 18259 25942 2 3 10 300 RANGE -1 2482 PASSIVE
19816 - 2500 426 18259 25942 2 3 10 300 RANGE -1 2482 PASSIVE
19818 - 2500 18300 1666 25942 3 3 10 400 MAGE -1 88 PASSIVE
19879 - 2500 18156 18294 25942 3 3 10 500 MELEE -1 -1 PASSIVE
19877 - 2500 18156 18294 25942 3 3 10 500 MELEE -1 -1 PASSIVE
19875 - 2500 18225 18292 25942 3 3 10 300 MELEE -1 -1 PASSIVE
//Vorago
16706 - 6000 19472 19441 19470 3 5 60 200 RANGE -1 -1 AGRESSIVE
16705 - 6000 19472 19441 19470 3 5 60 200 RANGE -1 -1 AGRESSIVE
16704 - 6000 19472 19441 19470 3 5 60 200 MAGE -1 -1 AGRESSIVE
16703 - 6000 19472 19441 19470 3 5 60 200 MAGE -1 -1 AGRESSIVE
//araxxor
19457 - 50000 -1 24092 24106 3 3 120 600 SPECIAL -1 -1 AGRESSIVE
19464 - 50000 -1 24092 24106 3 3 120 600 SPECIAL -1 -1 AGRESSIVE
//Kalphite worker
16697 - 50000 -1 19485 19480 3 5 120 600 SPECIAL -1 -1 AGRESSIVE
//kalphite king
16697 - 50000 -1 19485 19480 3 5 120 600 SPECIAL -1 -1 AGRESSIVE
16698 - 50000 -1 19485 19480 3 5 120 600 SPECIAL -1 -1 AGRESSIVE
16699 - 50000 -1 19485 19480 3 5 120 600 SPECIAL -1 -1 AGRESSIVE
//chaos ele
3200 - 2500 -1 5444 5446 5 4 10 350 SPECIAL -1 -1 AGRESSIVE
//gazer
9752 - 37000 13430 13420 13424 8 5 62 450 SPECIAL -1 -1 AGRESSIVE
//Necrolord
11749 - 7500 1978 451 836 6 2 25 480 MAGE 398 88 AGRESSIVE
8150 - 850 -1 -1 -1 5 1 15 210 MELEE -1 -1 AGRESSIVE
//experiments:
1676 - 1000 1626 1627 1628 5 3 60 20 MELEE -1 -1 PASSIVE
1677 - 1000 1616 1617 1618 5 3 60 20 MELEE -1 -1 PASSIVE
